"","Year","Mean_Citations","Research_Types","Papers_Published"
"862",2017,16,"Basic",1
"863",2017,17,"Basic",2
"864",2017,17,"Clinical",3
"865",2017,18,"Basic",1
"866",2017,18,"Clinical",3
"867",2017,19,"Basic",1
"868",2017,20,"Clinical",1
"869",2017,21,"Clinical",1
"870",2017,23,"Basic",1
"871",2017,23,"Clinical",2
"872",2017,24,"Basic",1
"873",2017,24,"Clinical",1
"874",2017,25,"Basic",1
"875",2017,27,"Basic",1
"876",2017,27,"Clinical",2
"877",2017,28,"Basic",2
"878",2017,28,"Clinical",1
"879",2017,29,"Clinical",1
"880",2017,30,"Basic",2
"881",2017,30,"Clinical",1
"882",2017,31,"Clinical",3
"883",2017,32,"Basic",2
"884",2017,34,"Basic",1
"885",2017,35,"Clinical",1
"886",2017,36,"Clinical",1
"887",2017,37,"Clinical",1
"888",2017,38,"Basic",1
